userId,total_billable_hours
239,205.00
61,936.50
276,1255.00
365,1056.00
253,894.00
300,1461.50
502,1461.00
133,109.00
106,763.75
340,1897.05
345,1762.50
336,76.00
296,1113.50
40,664.00
306,56.00
55,1659.00
66,96.00
47,41.00
70,30.50
91,1131.80
171,88.00
94,137.00
188,152.00
32,25.50
111,1577.00
273,154.00
204,23.50
299,575.00
285,768.00
50,39.50
51,317.00
240,197.00
547,1775.00
564,167.60
568,1614.75
105,656.00
585,170.10
593,1453.75
576,50.00
160,1544.50
153,1317.00
560,775.00
64,1351.00
75,93.00
589,311.00
582,1066.50
592,1384.50
613,1108.25
616,1107.50
505,2.00
599,942.50
104,3.00
526,920.00
584,395.50
619,2211.00
591,1370.50
561,1680.50
586,1616.25
587,6.00
559,86.50
624,2.50
636,691.00
489,111.60
612,74.00
215,16.00
278,3152.00
238,1420.50
713,3133.00
601,311.25
556,1254.00
566,42.00
617,13.50
69,1538.50
363,3638.00
214,21.00
650,1178.00
832,723.50
131,173.50
237,1416.00
247,394.50
685,310.50
179,212.25
122,1622.50
264,3.00
248,1200.00
614,1556.00
102,618.00
172,1006.50
1711,237.00
1854,56.05
567,11.25
362,3824.50
494,144.00
529,3991.50
583,2636.00
207,2711.50
203,3035.00
364,36.75
272,1559.00
337,284.50
167,3061.00
109,3031.00
33,1075.00
265,32.50
58,1258.50
521,107.00
563,932.50
519,387.00
579,14.00
667,32.50
643,85.00
100,911.50
657,1710.50
282,1062.50
645,371.00
289,324.00
603,260.00
680,55.00
338,966.50
235,1406.00
226,2910.00
549,490.00
786,26.50
30,122.75
625,2646.50
722,2005.75
648,11.00
183,3005.00
535,1948.00
74,969.50
829,571.00
600,1758.00
78,744.00
54,1375.50
165,111.00
888,708.25
649,849.00
895,1555.75
232,2234.00
928,736.00
134,115.00
339,68.00
114,1347.00
144,2337.50
187,1275.00
178,1256.00
139,705.50
792,2286.00
697,383.00
714,2587.00
368,718.50
824,788.00
825,3024.00
926,1016.00
717,1821.00
581,527.00
515,131.25
349,385.00
346,40.00
670,2645.25
665,93.75
604,2623.62
510,2057.50
789,812.00
255,1562.00
81,1351.00
67,916.50
371,2603.00
279,872.00
216,39.00
97,2063.75
68,1234.00
708,893.00
538,426.00
280,747.00
655,1007.00
939,349.50
943,129.00
177,1892.00
887,241.00
1689,7.50
168,1075.00
1731,31.47
801,1081.75
350,713.00
108,1621.00
671,1145.50
369,206.00
65,1183.50
159,2118.00
701,1096.00
498,2.00
262,489.00
219,2959.00
148,2818.00
608,2786.00
190,1400.33
514,825.00
516,833.00
196,399.83
258,1357.00
676,3063.50
293,2528.00
656,2036.00
622,1515.00
297,1784.50
621,86.50
823,505.00
836,312.00
971,2160.00
970,40.00
246,1600.00
292,1457.00
615,121.00
1084,800.00
898,246.00
534,12.00
1698,708.00
815,603.00
254,2323.00
721,2706.75
826,8.00
174,1308.00
875,814.00
304,1464.00
877,24.75
718,2143.50
712,2062.00
886,2543.00
699,759.00
810,538.00
690,889.00
654,678.00
1076,225.50
716,1708.00
661,1800.00
938,1550.00
945,672.00
920,816.00
641,898.50
646,1380.00
914,1090.00
193,1399.00
882,200.00
687,624.00
725,1626.00
1695,950.00
260,552.00
180,1765.00
668,82.00
796,628.00
224,1780.00
536,1726.50
509,429.00
162,736.00
46,1930.00
197,1933.50
992,655.00
195,187.00
123,1599.00
146,2036.50
28,1333.00
212,924.00
124,1886.00
186,32.00
53,1888.00
83,1736.00
949,1502.00
999,896.00
1030,1416.00
689,1434.50
113,2130.00
211,1333.00
1081,400.00
298,1799.00
1070,361.00
922,1880.00
291,212.00
972,2024.00
639,1788.00
126,1937.00
175,1516.00
189,1535.50
1033,216.00
911,1190.00
980,1832.00
284,1592.00
1049,1591.00
1038,1742.00
1088,1856.00
1508,1752.00
1578,1728.00
1577,688.00
1576,1192.00
1069,1353.20
1590,1492.00
1603,120.00
263,1227.00
975,968.00
1623,1480.00
1622,880.00
218,1296.00
988,708.00
1627,1200.00
1616,536.00
1638,47.00
82,662.50
1671,1036.00
1660,112.00
915,1033.50
916,920.50
1700,831.00
644,948.00
1726,652.50
1739,724.00
1786,488.00
843,475.50
1829,349.00
905,560.00
937,144.00
793,1120.00
996,1865.00
1016,1780.00
1001,1808.00
951,2120.00
953,184.00
1050,2025.00
724,1881.00
1028,1682.00
629,1256.00
1057,2080.00
1024,2134.00
989,2047.00
1041,2198.00
1029,510.00
1048,2086.00
977,1394.00
1018,1932.00
1063,2028.00
993,2040.00
969,1940.00
1022,1966.00
1052,1853.00
1051,2004.00
1046,1647.00
1035,2062.00
983,2040.00
1043,2060.00
1058,1926.00
1032,2112.00
834,9.00
1006,1938.00
1020,2058.00
1053,384.00
1065,2036.00
1027,2007.50
709,2060.00
1055,1482.00
1047,366.00
1013,1351.00
206,1277.00
956,1908.00
1040,1954.00
1004,2068.50
927,598.50
244,1880.00
634,1900.50
127,802.00
132,2104.02
257,1886.00
1500,136.25
973,1259.00
835,1760.00
170,1854.00
294,520.00
1019,1457.00
1593,1176.00
1600,1228.00
1607,1304.00
929,1025.50
1596,1142.00
1605,1342.00
1626,520.00
1633,832.00
1640,1296.00
1647,1240.00
366,176.00
256,1500.00
1675,985.00
1678,1016.00
924,584.00
1705,921.00
1714,906.00
1722,352.00
1824,416.00
1855,224.00
1848,224.00
994,328.00
963,2032.00
966,2024.50
952,1504.00
964,2088.00
982,2048.00
955,1797.00
947,1994.00
976,2120.00
968,1446.00
958,2024.00
995,520.00
954,1888.00
73,64.00
981,1203.00
1062,1218.00
1042,2064.00
1085,773.00
961,1972.00
703,171.00
805,508.00
804,629.00
1066,1008.00
965,1912.00
960,1992.00
1089,1848.00
904,958.00
143,1660.75
984,1891.00
1071,1763.00
1007,1880.00
1002,1772.00
1025,1731.00
1059,1613.00
1009,1166.00
513,2055.00
957,1503.00
1044,1893.00
1498,1908.00
987,1964.00
909,1421.00
662,533.00
1034,1908.00
918,1934.00
60,1545.00
974,2077.00
812,1280.00
234,1736.00
910,1125.00
985,1833.00
1012,2045.00
274,30.50
1575,1195.00
221,1734.00
154,540.00
267,1371.25
1592,1515.50
923,1016.00
1504,999.00
503,853.00
1614,472.00
1615,520.00
84,1144.50
704,766.00
948,1408.00
1017,797.50
769,1030.50
1668,744.00
52,1030.20
1783,320.00
1644,499.00
1743,388.00
1784,472.00
1851,224.00
56,915.50
241,673.50
1863,56.00
213,2085.00
95,1807.00
524,1706.00
101,142.50
817,555.95
897,127.00
142,531.00
43,275.00
684,1482.00
136,1114.00
840,536.50
176,267.00
919,360.00
1601,1530.00
323,1015.00
496,480.00
525,1205.00
1604,264.25
979,854.00
